UNITID,year,school_name,instruction_staff,instructors_per_thousand_student,admin_professional_staff,admin_professionalstaff_perthousandstudent,noninstruction_academicstaff,noninstruction_academicstaff_perthousandstudent,nonadmin_trade_servicestaff,nonadmin_tradeservicestaff_perthousandstudent,all_instructors_staff,ug_student_perthousandstudent,instructor_salarypermillion,adminprofessionalstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,ug_average_sch_studentperay,grad_average_sch_studentperay,ug_degrees_perthousand_ugstudent,ug_certi_perthousand_ugstudent,graddegree_perhundredgradstudent,grad_certi_perhundred_gradstudent,bachelordegree_4yeargradrate,bachelordegree_6yeargradrate,associatedegree_certi3yeargradrate
115490,2014,Heald College-San Jose,108,7,101,7,8,1,48,3,157,"1,000","206,781","214,382","13,971","90,186",11,NULL,52,22,NULL,NULL,NULL,NULL,15.54%
115515,2014,Heald College-San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000",NULL,NULL,NULL,NULL,12,NULL,97,19,NULL,NULL,NULL,NULL,29.47%
115533,2014,Heald College-Concord,32,17,24,13,22,12,2,2,48,"1,000","242,978","177,822","114,400","7,532",21,NULL,386,0,NULL,NULL,NULL,NULL,45.42%
115658,2014,Hilltop Beauty School,95,70,127,93,36,27,55,41,218,"1,000","353,472","361,649","75,098","83,158",33,NULL,0,0,NULL,NULL,73.94%,77.88%,NULL
115728,2014,Holy Names University,153,60,145,57,103,40,23,9,271,675,"438,033","304,375","166,146","24,753",29,4,0,0,67,0,59.62%,65.38%,NULL
115746,2014,Pacifica Graduate Institute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,847,"323,647","312,277","70,133","23,472",23,16,0,0,795,0,13.29%,41.96%,NULL
115755,2014,Humboldt State University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","469,215","256,456",0,"185,083",30,NULL,0,0,NULL,NULL,37.93%,37.93%,NULL
115773,2014,Humphreys College-Stockton and Modesto Campuses,79,9,80,9,10,2,18,2,108,"1,000","257,354","171,929","11,972","29,727",13,NULL,122,23,NULL,NULL,NULL,NULL,24.10%
115861,2014,Imperial Valley College,110,27,175,43,49,12,48,12,272,706,"237,337","347,699","77,881","63,310",22,15,71,0,471,0,9.41%,23.92%,NULL
115931,2014,Institute for Business and Technology,101,14,113,16,87,12,23,4,223,"1,000","262,419","310,804","185,519","43,460",15,NULL,153,232,NULL,NULL,NULL,NULL,25.46%
116226,2014,Interior Designers Institute,106,6,123,7,28,2,42,3,193,"1,000","229,344","331,586","64,567","79,210",10,NULL,69,90,NULL,NULL,NULL,NULL,18.45%
116350,2014,Toni & Guy Hairdressing Academy-Santa Monica,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","161,625","144,206","108,361","131,236",45,NULL,571,0,NULL,NULL,NULL,NULL,58.62%
116439,2014,Irvine Valley College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","100,616","599,096","23,017",0,25,NULL,106,0,NULL,NULL,NULL,NULL,52.22%
116466,2014,ITT Technical Institute-National City,3288,116,"4,289",1,928,33,342,13,"1,274",594,"92,892","110,155","28,900","14,344",18,11,0,0,325,0,15.06%,39.96%,NULL
116475,2014,ITT Technical Institute-San Dimas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,802,"359,555","218,803","154,689","102,304",21,10,0,0,325,0,26.79%,47.35%,NULL
116484,2014,ITT Technical Institute-Orange,1420,40,"2,951",1,993,28,879,25,"1,874",812,"236,186","356,454","115,612","57,229",26,12,0,0,345,0,46.09%,69.82%,NULL
116563,2014,Bellus Academy-El Cajon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,927,"221,918","497,457","43,274","21,812",14,13,10,22,379,91,30.25%,42.02%,NULL
116712,2014,John F. Kennedy University,190,78,320,131,100,41,82,34,502,955,"382,426","409,540","84,737","68,905",30,11,0,0,865,55,81.45%,86.36%,NULL
116846,2014,American Jewish University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","214,914","432,145","5,570",0,29,NULL,94,0,NULL,NULL,14.48%,25.52%,NULL
117052,2014,Reedley College,111,13,229,27,25,3,37,5,291,"1,000","235,125","380,540","43,877","43,858",13,NULL,120,127,NULL,NULL,NULL,NULL,NULL
117104,2014,Life Pacific College,43,25,44,25,4,3,11,7,59,"1,000","329,436","365,490","27,193","78,078",13,NULL,120,83,NULL,NULL,NULL,NULL,30.41%
117113,2014,The Art Institute of California-Argosy University San Diego,284,43,323,49,147,22,139,21,609,668,"295,171","256,407","91,208","58,488",31,12,0,0,324,0,46.32%,76.13%,NULL
117140,2014,University of La Verne,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,744,"267,294","192,043","267,594","67,152",26,12,0,0,360,0,38.60%,65.25%,NULL
117168,2014,Laguna College of Art and Design,20,7,30,11,10,4,11,4,51,635,"158,203","145,341","41,581","47,677",29,20,114,0,397,0,12.70%,26.98%,NULL
117195,2014,Lake Tahoe Community College,51,5,98,9,52,5,19,2,169,"1,000","184,669","317,698","149,829","47,056",12,NULL,86,47,NULL,NULL,NULL,NULL,18.36%
117238,2014,Lancaster Beauty School,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","505,823","201,799","951,337",0,34,NULL,306,0,NULL,NULL,19.51%,21.95%,NULL
117247,2014,Laney College,105,7,206,14,8,1,15,1,229,"1,000","201,774","335,877","12,022","13,651",13,NULL,78,45,NULL,NULL,NULL,NULL,10.08%
117274,2014,Lassen Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","90,111","308,316","106,413","195,813",36,NULL,232,0,NULL,NULL,7.67%,8.04%,NULL
117520,2014,Life Chiropractic College West,702,51,981,71,185,14,250,18,"1,416",431,"335,550","323,602","46,924","50,707",39,22,0,6,525,55,65.69%,76.48%,NULL
117557,2014,Lincoln University,166,38,171,39,54,13,71,17,296,992,"290,242","324,176","69,404","76,541",25,9,1,0,0,0,17.94%,38.39%,NULL
117575,2014,Southern California Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","268,007","280,610","71,558","41,294",13,NULL,102,114,NULL,NULL,NULL,NULL,19.53%
117627,2014,La Sierra University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","204,204","352,047","116,961","98,889",18,NULL,245,73,NULL,NULL,NULL,NULL,32.45%
117636,2014,Loma Linda University,263,24,248,22,16,2,80,8,344,979,"362,063","339,559","18,021","60,932",21,8,43,25,200,67,16.19%,35.94%,NULL
117645,2014,Long Beach City College,557,20,563,21,81,3,3,1,647,981,"408,741","366,697","41,404","1,540",19,18,0,0,658,0,4.59%,24.14%,NULL
117672,2014,Southern California University of Health Sciences,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","265,316","331,934","50,409","37,758",13,NULL,127,173,NULL,NULL,NULL,NULL,28.36%
117681,2014,Los Angeles Community College District Office,50,45,100,90,27,25,12,11,139,421,"235,457","460,870","86,146","36,043",23,19,0,0,653,0,19.64%,39.29%,NULL
117690,2014,Los Angeles Harbor College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","46,747","464,977",0,0,21,NULL,66,0,NULL,NULL,0.00%,0.00%,NULL
117706,2014,Los Angeles Pierce College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","269,152","236,324","27,565",0,24,NULL,189,0,NULL,NULL,0.00%,0.00%,NULL
117715,2014,Los Angeles Southwest College,9,8,30,24,1,1,4,4,35,"1,000","173,444","519,403","15,598","40,826",10,NULL,5,0,NULL,NULL,0.00%,16.67%,NULL
117724,2014,Los Angeles Trade Technical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","306,483","375,628","68,906","85,717",15,NULL,167,127,NULL,NULL,NULL,NULL,29.68%
117733,2014,Los Angeles Valley College,490,33,540,36,82,6,245,17,867,738,"319,694","289,607","37,409","82,867",25,12,0,0,345,0,26.94%,46.35%,NULL
117751,2014,The Master's College and Seminary,35,17,45,22,94,45,34,17,173,"1,000","154,555","212,415","303,087","95,525",16,NULL,169,224,NULL,NULL,NULL,NULL,35.53%
117788,2014,Los Angeles City College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","83,035","438,148",0,0,22,NULL,86,0,NULL,NULL,NULL,NULL,55.92%
117803,2014,Los Angeles County College of Nursing and Allied Health,169,9,254,13,24,2,77,4,355,"1,000","222,092","318,205","26,184","69,720",15,NULL,125,104,NULL,NULL,NULL,NULL,12.05%
117867,2014,Los Angeles Mission College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","210,769","193,671","142,586","131,032",39,NULL,396,197,NULL,NULL,NULL,NULL,65.62%
117894,2014,Los Medanos College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","199,267","325,441","95,632","58,688",15,NULL,145,266,NULL,NULL,NULL,NULL,19.39%
117900,2014,Los Rios Community College District Office,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","185,732","286,493","124,552","70,710",14,NULL,99,176,NULL,NULL,NULL,NULL,26.23%
117928,2014,The Art Institute of California-Argosy University San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,508,"304,471","339,534","16,923","38,530",20,10,0,14,464,117,41.78%,59.05%,NULL
117946,2014,Loyola Marymount University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,959,"208,498","244,558","251,993","71,983",20,12,0,2,"1,160",0,45.31%,48.44%,NULL
117955,2014,Lu Ross Academy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,483,"307,655","333,103","50,395","66,764",20,7,0,0,36,0,15.97%,31.84%,NULL
118116,2014,Manchester Beauty College,41,49,17,21,1,2,9,11,27,"1,000","148,555","83,937","5,480","43,556",27,NULL,747,0,NULL,NULL,NULL,NULL,56.95%
118125,2014,Tulare Beauty College,50,20,58,24,28,12,26,11,112,"1,000","222,206","266,434","94,570","93,563",17,NULL,200,244,NULL,NULL,NULL,NULL,40.40%
118134,2014,Lyles Bakersfield College of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","63,335","21,112","10,698","2,072",38,NULL,0,0,NULL,NULL,82.82%,83.85%,NULL
118143,2014,Lyles Fresno College of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,884,"398,202","297,485","49,304","79,883",22,12,0,0,348,0,19.08%,35.60%,NULL
118161,2014,Lytles Redwood Empire Beauty College Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,880,"123,354","66,449",0,0,30,24,0,0,0,0,0.00%,0.00%,NULL
118189,2014,MTI Business College Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,788,"258,620","443,189","79,760","45,729",25,17,93,0,660,115,34.39%,49.74%,NULL
118198,2014,MTI College,30,12,42,17,29,12,8,4,79,"1,000","234,877","348,824","178,299","36,873",13,NULL,145,241,NULL,NULL,NULL,NULL,29.15%
118259,2014,Kaplan College-Sacramento,38,33,29,26,6,6,14,13,49,"1,000","238,125","275,514","42,381","62,617",16,NULL,309,0,NULL,NULL,9.09%,13.64%,NULL
118277,2014,Kaplan College-San Diego,123,21,285,49,11,2,0,0,296,564,"259,424","522,926","12,774",0,23,19,45,14,488,0,20.27%,29.50%,NULL
118286,2014,Kaplan College-Vista,451,32,310,22,108,8,104,8,522,789,"417,035","258,314","84,731","58,723",23,12,0,0,386,44,21.51%,52.35%,NULL
118347,2014,College of Marin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,996,"349,038","321,373","32,938","141,266",30,19,0,0,667,0,78.09%,82.96%,NULL
118356,2014,Marinello Schools of Beauty-Los Angeles,1920,68,"4,844",1,498,18,"1,114",1,503,688,"180,127","349,183","31,285","63,467",29,13,3,0,378,39,67.12%,81.15%,NULL
118541,2014,Marymount California University,90,17,111,20,62,12,28,5,201,"1,000","220,652","289,329","123,202","42,621",17,NULL,159,26,NULL,NULL,NULL,NULL,NULL
118684,2014,Mendocino College,200,33,190,31,74,12,135,22,399,950,"312,946","287,619","91,921","120,736",25,11,3,0,376,0,39.11%,56.22%,NULL
118693,2014,Menlo College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,760,"347,033","350,760","94,006","55,402",28,13,0,0,556,0,76.61%,79.96%,NULL
118718,2014,Merced College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","282,641","249,839","115,354","39,161",12,NULL,137,45,NULL,NULL,NULL,NULL,6.80%
118772,2014,Merritt College,347,40,406,46,172,20,136,16,714,694,"348,752","251,693","100,587","64,069",25,10,51,8,400,6,44.53%,55.57%,NULL
118888,2014,Mills College,19,36,9,17,1,2,3,6,13,162,"271,244","220,887","4,897","41,943",18,11,47,0,341,9,0.00%,0.00%,NULL
118912,2014,MiraCosta College,82,11,82,11,27,4,21,3,130,"1,000","294,422","295,594","90,370","61,821",13,NULL,128,35,NULL,NULL,NULL,NULL,11.30%
118921,2014,Marinello Schools of Beauty-San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","308,156","270,629","105,276","74,726",13,NULL,151,23,NULL,NULL,NULL,NULL,15.95%
118930,2014,Mission College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","283,031","234,024","96,147","72,544",14,NULL,179,95,NULL,NULL,NULL,NULL,12.88%
118958,2014,Modern Beauty Academy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","266,290","324,870","111,845","11,539",13,NULL,131,23,NULL,NULL,NULL,NULL,14.40%
118967,2014,Kaplan College-North Hollywood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","182,607","428,895","103,590","47,607",26,NULL,41,0,NULL,NULL,39.85%,46.24%,NULL
118976,2014,Modesto Junior College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","321,561","235,374","142,280","37,551",14,NULL,171,31,NULL,NULL,NULL,NULL,13.53%
118994,2014,Moler Barber College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,717,"349,243","331,199","82,137","62,193",27,18,17,26,716,64,38.88%,49.64%,NULL
119058,2014,Monterey Institute of International Studies,108,12,75,9,56,7,14,2,145,"1,000","304,050","215,049","148,128","29,020",14,NULL,145,28,NULL,NULL,NULL,NULL,9.27%
119067,2014,Monterey Peninsula College,30,15,41,20,16,8,10,5,67,"1,000","261,791","390,868","122,752","50,432",12,NULL,172,42,NULL,NULL,NULL,NULL,12.92%
119137,2014,Moorpark College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","286,861","354,113","33,339","40,663",25,NULL,38,50,NULL,NULL,48.28%,65.52%,NULL
119164,2014,Mt San Antonio College,57,4,114,8,317,21,8,1,439,914,"117,200","255,929","402,604","8,446",12,9,21,13,352,11,17.05%,25.58%,NULL
119173,2014,Mount Saint Mary's University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","251,765","388,910","134,648","41,892",13,NULL,178,134,NULL,NULL,NULL,NULL,18.91%
119216,2014,Mt San Jacinto Community College District,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,707,"299,771","377,538","8,406","79,638",30,15,0,0,476,2,71.78%,75.96%,NULL
119234,2014,Mueller College,261,31,424,51,25,3,67,8,516,601,"342,880","445,250","21,387","45,743",27,13,3,0,425,0,59.43%,66.97%,NULL
119270,2014,Musicians Institute,132,42,159,51,147,47,37,12,343,385,"335,299","318,232","195,991","39,745",23,11,0,22,483,82,40.89%,50.67%,NULL
119331,2014,Napa Valley College,107,10,93,8,22,2,35,3,150,"1,000","294,973","230,208","49,133","52,549",13,NULL,114,27,NULL,NULL,NULL,NULL,7.54%
119359,2014,Everest College-Reseda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","234,093","347,842","57,556",0,16,NULL,240,17,NULL,NULL,NULL,NULL,NULL
119456,2014,Everest College-Gardena,439,35,311,25,68,6,146,12,525,742,"396,247","257,132","55,381","73,804",23,13,0,0,359,0,22.75%,52.87%,NULL
119465,2014,Everest College-Alhambra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,948,"368,009","382,213","77,393","29,075",29,11,0,0,383,0,78.78%,84.04%,NULL
119508,2014,Everest College-San Bernardino,64,10,78,12,25,4,11,2,114,"1,000","265,991","317,465","94,037","27,903",13,NULL,125,44,NULL,NULL,NULL,NULL,11.50%
119544,2014,The National Hispanic University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","431,135","390,285","333,307","232,174",36,NULL,0,0,NULL,NULL,84.25%,85.71%,NULL
119553,2014,National Holistic Institute,352,100,378,107,83,24,93,27,554,886,"442,424","325,155","60,983","64,003",32,13,0,0,344,0,86.99%,92.73%,NULL
119605,2014,National University,212,30,226,32,43,6,128,18,397,895,"350,952","324,711","58,269","113,243",23,10,6,0,379,0,19.61%,42.81%,NULL
119678,2014,Naval Postgraduate School,2695,203,"6,295",1,"2,536",1,"1,654",1,9,497,"117,618","203,568","45,758","47,024",32,24,0,0,478,0,87.39%,96.20%,NULL
119775,2014,Newschool of Architecture and Design,122,22,86,16,42,8,24,5,152,"1,000","346,361","214,846","135,219","37,671",17,NULL,180,46,NULL,NULL,NULL,NULL,17.71%
119845,2014,Newberry School of Beauty,92,23,79,20,27,7,26,7,132,"1,000","445,981","277,193","75,938","53,482",17,NULL,187,2,NULL,NULL,NULL,NULL,15.36%
119951,2014,Adrian's College of Beauty Modesto,189,20,161,17,57,6,44,5,262,"1,000","419,920","254,988","81,884","45,634",15,NULL,155,20,NULL,NULL,NULL,NULL,11.19%
120023,2014,North Orange County Community College District,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,896,"285,257","266,415","158,420","76,531",28,14,0,0,512,0,21.36%,42.58%,NULL
120069,2014,North-West College-Pomona,1112,48,"2,213",1,150,7,562,24,714,832,"307,786","364,998","14,411","61,551",28,12,29,0,395,0,67.96%,81.19%,NULL
120078,2014,North-West College-West Covina,17,7,35,14,2,1,8,4,45,263,"171,719","366,136","14,010","30,048",24,12,60,9,213,7,33.33%,46.67%,NULL
120087,2014,North-West College-Pasadena,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,944,"357,040","184,705","52,742","63,913",25,15,8,0,778,0,13.93%,21.69%,NULL
120166,2014,Northwestern Polytechnic University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,594,"164,192","352,216","19,078","30,272",20,17,11,0,429,0,12.50%,33.22%,NULL
120184,2014,Notre Dame de Namur University,785,57,"1,357",1,96,7,208,16,305,574,"351,984","445,552","28,634","51,403",28,12,0,15,543,10,76.37%,81.66%,NULL
120254,2014,Occidental College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,"320,371","272,996","131,545","73,818",30,12,5,0,354,5,59.60%,66.59%,NULL
120272,2014,Oceanside College of Beauty,260,41,266,42,108,17,62,10,436,942,"324,160","319,066","105,471","56,342",17,18,87,0,453,0,4.69%,15.02%,NULL
120290,2014,Ohlone College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,678,"286,193","459,514","55,362","101,060",25,20,0,0,515,22,16.20%,45.81%,NULL
120342,2014,Orange Coast College,1182,42,"3,230",1,411,15,433,16,847,389,"256,144","388,841","53,797","38,069",28,12,42,0,501,67,72.37%,79.46%,NULL
120403,2014,Otis College of Art and Design,1159,55,"2,839",1,427,20,433,21,862,424,"249,179","361,459","29,727","37,909",25,11,0,0,536,1,91.02%,94.91%,NULL
120421,2014,Oxnard College,1094,101,"1,316",1,413,38,271,25,685,680,"167,478","155,458","45,286","26,652",27,10,0,0,194,0,42.59%,60.32%,NULL
120537,2014,Hope International University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","222,277","383,588",0,"191,487",30,NULL,25,451,NULL,NULL,NULL,NULL,78.86%
120661,2014,Concorde Career College-San Diego,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,677,"125,124","127,564","23,801","100,186",22,16,53,2,367,3,13.33%,40.00%,NULL
120698,2014,Palo Alto University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,722,"277,492","349,417","137,711","23,608",21,13,16,0,679,0,32.49%,45.18%,NULL
120740,2014,Pacific Lutheran Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","302,805","453,477","15,293",0,68,NULL,221,0,NULL,NULL,NULL,NULL,69.69%
120768,2014,Pacific Oaks College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","213,568","389,205","3,958","14,772",29,NULL,169,9,NULL,NULL,23.26%,35.47%,NULL
120795,2014,Pacific School of Religion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,949,"450,839","325,725","26,406","14,713",23,8,11,0,0,0,26.53%,46.94%,NULL
120838,2014,Pacific States University,356,34,568,54,67,7,40,4,675,479,"360,701","384,722","34,355","16,869",24,14,0,0,411,0,20.55%,35.96%,NULL
120865,2014,Pacific Union College,192,49,306,78,19,5,74,19,399,981,"353,121","544,591","17,656","74,852",29,21,0,0,744,0,27.54%,49.65%,NULL
120883,2014,University of the Pacific,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,722,"201,573","539,313","14,570","81,916",29,17,0,0,613,40,34.78%,40.49%,NULL
120953,2014,Palo Verde College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325,"220,945","291,505","26,558","141,283",22,15,0,0,427,0,50.00%,50.00%,NULL
120971,2014,Palomar College,12,37,13,40,8,25,2,7,23,"1,000","375,908","244,874","147,260","34,616",27,NULL,86,0,NULL,NULL,18.75%,35.42%,NULL
121017,2014,Paris Beauty College,1231,18,"2,569",1,371,6,586,9,959,849,"267,268","387,147","62,922","50,763",23,13,16,0,477,0,40.14%,69.70%,NULL
121044,2014,Pasadena City College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,979,"341,811","226,710","116,305","93,949",27,12,4,0,334,0,35.54%,49.59%,NULL
121150,2014,Pepperdine University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,894,"298,557","511,405","14,538","5,950",25,19,76,0,650,0,5.71%,8.57%,NULL
121178,2014,Peralta Community College System Office,137,53,216,83,4,2,29,12,249,"1,000","361,253","454,779","7,637","34,741",28,NULL,0,0,NULL,NULL,58.11%,65.71%,NULL
121257,2014,Pitzer College,50,51,66,68,48,49,22,23,136,"1,000","290,840","324,072","192,618","53,749",27,NULL,0,0,NULL,NULL,3.04%,19.57%,NULL
121275,2014,Platt College-San Diego,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,872,"298,493","477,548","70,832","141,898",28,13,16,0,651,0,30.72%,52.36%,NULL
121309,2014,Point Loma Nazarene University,548,46,815,68,162,14,219,19,"1,196",828,"309,795","317,028","45,937","45,299",27,8,23,0,268,0,12.15%,39.57%,NULL
121345,2014,Pomona College,776,21,"1,441",1,281,8,157,5,439,834,"267,976","402,240","62,117","29,092",21,12,23,0,434,0,17.07%,45.95%,NULL
121363,2014,Porterville College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","365,339","418,688","37,639","83,396",29,NULL,0,0,NULL,NULL,48.37%,58.45%,NULL
121381,2014,Westwood College-South Bay,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","369,656","303,974","101,664",0,27,NULL,239,0,NULL,NULL,12.23%,51.06%,NULL
121433,2014,Professional Institute of Beauty,82,30,121,44,9,4,17,7,147,943,"361,875","418,045","36,008","33,453",18,26,142,0,605,0,0.00%,57.14%,NULL
121619,2014,Santa Ana College,290,43,510,75,65,10,216,32,791,532,"334,490","352,985","28,709","82,596",29,12,0,0,546,0,38.90%,54.96%,NULL
121628,2014,Pardee RAND Graduate School,1208,19,"2,732",1,389,6,537,9,928,822,"242,747","378,802","44,329","46,916",20,15,2,0,545,18,23.57%,54.19%,NULL
121637,2014,Shasta School of Cosmetology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,967,"378,774","314,264","75,219","63,106",25,16,0,0,634,0,16.76%,38.86%,NULL
121691,2014,University of Redlands,122,43,177,62,51,18,93,33,321,905,"330,404","379,149","86,129","98,721",29,17,0,0,609,0,55.73%,64.99%,NULL
121707,2014,College of the Redwoods,1417,31,"2,879",1,982,22,880,19,"1,864",783,"241,096","280,062","105,748","49,559",26,16,11,0,407,0,61.41%,79.13%,NULL
121859,2014,Salon Success Academy-Upland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,949,"420,072","658,352",0,0,22,20,376,0,0,0,NULL,NULL,NULL
121868,2014,Salon Success Academy-Corona,2472,44,"6,628",1,"2,489",1,"1,546",1,9,645,"159,626","209,307","70,958","35,039",27,13,25,0,412,0,67.20%,87.51%,NULL
121886,2014,Rio Hondo College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,849,"76,535","242,739","6,914",0,21,12,106,0,320,0,23.53%,29.41%,NULL
121901,2014,Riverside City College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,888,"329,045","482,819","1,366","18,932",36,22,14,27,746,48,49.06%,49.75%,NULL
121983,2014,Argosy University-San Francisco Bay Area,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","407,226","132,461","44,751",0,28,NULL,154,0,NULL,NULL,NULL,NULL,50.00%
121992,2014,Rosemead Beauty School,8,32,15,59,1,4,6,24,22,"1,000","102,182","214,187","12,921","58,043",14,NULL,141,0,NULL,NULL,26.67%,60.00%,NULL
122117,2014,Dongguk University-Los Angeles,8,9,6,7,4,5,27,29,37,"1,000","128,227","137,728","54,138","326,478",24,NULL,105,0,NULL,NULL,26.56%,32.29%,NULL
122126,2014,Rudolf Steiner College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,976,"254,481","436,102","8,245",0,35,22,89,0,600,0,23.03%,31.92%,NULL
122180,2014,Sacramento City College,7,9,39,45,2,3,0,0,41,"1,000","193,096","727,330","35,191",0,25,NULL,276,0,NULL,NULL,NULL,NULL,NULL
122205,2014,Saddleback College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,816,"377,284","393,194","23,373","23,534",21,14,0,0,540,0,28.01%,40.82%,NULL
122296,2014,Samuel Merritt University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","30,009","314,271",0,"73,178",15,NULL,103,0,NULL,NULL,8.33%,16.67%,NULL
122320,2014,San Diego Community College District-District Office,1017,30,"1,368",1,34,1,18,1,53,941,"499,825","630,748","12,606","4,553",20,9,222,0,211,0,0.16%,61.31%,NULL
122339,2014,San Diego City College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","550,241","70,940","146,473",0,23,NULL,385,0,NULL,NULL,NULL,NULL,69.49%
122366,2014,Golf Academy of America-Carlsbad,81,14,150,26,12,3,20,4,182,"1,000","266,452","473,146","34,621","37,715",15,NULL,228,11,NULL,NULL,NULL,NULL,NULL
